average(IT("/V1/MINUS")) X,
0.000209160005503466,1
0.000209284477295919,2
0.000209515301262983,2
0.000209759075222612,3
0.00020976237593012,1
0.000209768410675383,4
0.00020980706753352,4
0.000209814834010256,12
0.000209830636626424,6
0.000209877837373731,20
0.000209884377777199,3
0.000209941611991035,11
0.00020994461568585,1
0.000209947687681191,22
0.000209948039926107,2
0.000209948535619617,8
0.000209961077528029,7
0.000209966064136326,23
0.00020999328186741,13
0.000210003070354284,15
0.000210010486519367,14
0.000210013188498016,21
0.000210046485668585,16
0.000210047268828522,19
0.000210059478910181,17
0.00021007342609338,5
0.000210078484295052,9
0.000210089834783155,10
0.000210101600067879,18
0.000210112063461379,11
0.000210122929366819,20
0.000210150423996498,33
0.000210173790342432,8
0.00021018606569171,17
0.000210202976147782,24
0.000210217286609024,23
0.000210217775915049,7
0.000210220738461805,6
0.000210224135314406,13
0.000210241660011301,4
0.000210250654089961,16
0.000210254043042547,5
0.000210260458236486,29
0.000210267721120221,14
0.000210280948613662,31
0.000210284810573769,18
0.000210290196846603,27
0.000210298236857938,28
0.000210300103156516,32
0.000210303932111606,22
0.000210314550203084,19
0.00021034537010711,26
0.000210354183825893,30
0.000210355128474024,21
0.000210365966951048,12
0.000210379112096311,3
0.000210383703655624,15
0.000210387096106563,25
0.000210390518425699,10
0.000210396046056707,2
0.000210399579458144,1
0.00021040597775821,9
0.000210423777733199,41
0.000210424941446797,35
0.000210433945693115,40
0.00021044845000435,19
0.000210448573155942,39
0.000210474864937872,11
0.000210482312130878,32
0.00021048831865174,45
0.000210492239483306,30
0.000210495282195505,46
0.000210502643078625,22
0.000210509842038821,4
0.000210514449314331,9
0.000210534557164801,28
0.000210541556432493,21
0.000210545508844212,14
0.000210547192951538,10
0.000210561656322906,5
0.000210565940494648,1
0.000210571741820291,23
0.0002105769209492,20
0.000210581369705185,16
0.000210598114721695,25
0.000210599966363428,27
0.000210604046048375,33
0.000210611452939619,8
0.000210614594287371,48
0.000210615752824125,12
0.000210631989909859,7
0.000210635038249613,29
0.000210637753843295,47
0.000210640153953324,26
0.000210652755988612,13
0.000210655261145515,17
0.000210660083143619,24
0.000210664866196109,2
0.000210672648024468,34
0.000210675317927841,42
0.000210688203427578,44
0.000210696315443925,38
0.000210698340222725,36
0.000210710417082417,31
0.000210711874670151,18
0.000210714592234222,6
0.000210720764782197,37
0.00021072574332152,43
0.000210731234289449,15
0.000210731817195788,3
0.000210735553429807,19
0.000210736232425203,3
0.000210755744914626,40
0.000210771500010743,1
0.000210789439305467,5
0.000210806842379808,45
0.000210809349492468,27
0.000210809532959646,4
0.000210811434290963,32
0.000210816789124768,42
0.000210818275673718,14
0.000210826362880518,12
0.000210838171833008,36
0.000210853626690959,49
0.000210872595574911,16
0.000210873022368689,44
0.000210873822420097,21
0.000210887726784816,17
0.000210897888151696,26
0.00021089914489938,46
0.000210902146342307,31
0.000210902813159547,15
0.000210909358011834,30
0.000210910199179348,33
0.000210911761173974,38
0.00021091327029518,28
0.000210931639842755,29
0.000210943188514397,41
0.000210943269503387,6
0.000210943623891152,34
0.000210947948107999,20
0.000210948923501861,8
0.000210949274273681,48
0.000210969141533437,2
0.000210973598864476,24
0.00021097633109034,43
0.000210988425727548,35
0.000210988852473583,9
0.000210990440414209,39
0.000210990758235634,22
0.000210999204463257,10
0.000211001003389512,13
0.000211018499702331,23
0.000211018751702374,7
0.000211021861894165,47
0.000211024947371717,25
0.000211028404887316,18
0.000211029735998925,37
0.000211037809697197,11
0.000211050084195317,45
0.000211064303499239,27
0.00021106559211379,32
0.00021107458953015,42
0.000211076130967758,2
0.000211076337781338,46
0.0002110798270896,8
0.000211080948340497,30
0.000211089158758223,39
0.000211090458555632,13
0.000211111273154518,3
0.000211113676590465,43
0.000211115032310249,20
0.000211119273047262,5
0.000211127553066655,35
0.000211140628310931,23
0.000211142151469735,19
0.000211145073680844,28
0.000211155406298562,22
0.00021117251328723,31
0.000211181992920824,33
0.000211189475973971,38
0.000211198635638286,6
0.000211201705552467,10
0.000211205126239826,9
0.000211208897123456,16
0.000211209572146802,1
0.000211215760488023,41
0.000211217266832254,37
0.000211219779827347,40
0.000211223200309949,15
0.000211240756056245,18
0.000211247259579185,24
0.000211254497139469,25
0.000211260519073253,14
0.000211274963290569,12
0.000211278801483556,44
0.00021128600586188,34
0.000211292625404717,4
0.000211304017515593,26
0.000211312284313357,11
0.000211314879699991,7
0.0002113242588942,36
0.000211346892706906,21
0.000211349114593542,17
0.000211356456209085,29
0.000211367123116763,19
0.000211375722881118,3
0.000211382558087058,10
0.000211408769398245,23
0.000211418019883978,1
0.000211422918097859,12
0.000211431402942165,6
0.000211432099951898,24
0.000211453995720972,20
0.00021145602068925,21
0.000211462338558593,5
0.000211488843874307,17
0.000211506771656856,15
0.000211509123941337,13
0.000211517843968865,22
0.000211555635166632,9
0.000211559113049373,11
0.000211611401749352,18
0.000211622616868039,14
0.00021163768417267,2
0.000211640779098799,16
0.0002116468924169,25
0.000211650613814338,7
0.00021165440343586,4
0.000211668901194887,8
0.000211681747725723,3
0.000211701558580253,2
0.000211715891413299,5
0.000211720894254869,11
0.000211722252634187,6
0.000211745515417373,7
0.000211759323941795,1
0.000211760302311544,9
0.000211802719691696,12
0.000211804685926361,14
0.000211817336502795,10
0.000211829721652995,8
0.000211868734584568,15
0.000211891056711121,4
0.000211910481854476,13
0.000212033902819477,3
0.000212122045869056,2
0.000212122827119615,4
0.000212265043445012,1
0.000212304696119119,5
