(average(IT("/V0/PLUS")) * average(VT("/Vin"))) X,
-1.36147565974944e-09,3
-1.30599050804287e-09,1
-1.05949125433462e-09,4
-7.58303024458523e-10,2
-4.79244546899831e-10,5
-3.76338154775466e-10,2
-6.62431164432177e-11,1
-5.71447145015005e-11,3
-3.69984807181164e-11,6
3.21222040667517e-11,4
7.07775690096403e-11,7
2.59581762801247e-10,2
2.72970936212962e-10,1
3.19310114686687e-10,9
3.24579850037291e-10,19
3.85248487389992e-10,4
4.59719173877314e-10,3
5.25101322210496e-10,11
6.17936216018091e-10,20
6.58570900076743e-10,6
6.87631781000651e-10,8
7.09942834782474e-10,7
8.0268656902705e-10,16
8.30288484062282e-10,12
8.46093583296677e-10,5
8.51395941492852e-10,17
9.589330070610929e-10,10
9.82533859388322e-10,15
9.902166187621641e-10,14
9.943613634199941e-10,18
1.01035102627444e-09,21
1.02683636729843e-09,13
1.03535387796372e-09,30
1.03603226741508e-09,25
1.04136465533652e-09,14
1.07741184630254e-09,22
1.2068543340115e-09,15
1.2171590123238e-09,4
1.22816098385231e-09,20
1.23596849719033e-09,3
1.24410295967867e-09,8
1.2533975338061e-09,29
1.253826789573e-09,21
1.2758620105911e-09,7
1.28610250047941e-09,13
1.3002516746924e-09,12
1.31837075716234e-09,5
1.33513593833667e-09,33
1.50634637827038e-09,28
1.51692705841239e-09,18
1.51849467244053e-09,23
1.56169192556971e-09,11
1.59200336822374e-09,9
1.62013823669106e-09,19
1.62744034630254e-09,31
1.6311354719298e-09,26
1.64301349853504e-09,10
1.67446851228227e-09,17
1.71142300143516e-09,16
1.73835365233868e-09,27
1.74216680262673e-09,6
1.77620255903286e-09,32
1.78694808037946e-09,1
1.82591629359205e-09,2
1.8305683509371e-09,24
1.83742868308725e-09,14
1.88639055703657e-09,28
1.88860797052529e-09,13
1.90547944958695e-09,24
1.93500999059505e-09,21
1.93967056196229e-09,6
1.96165067012282e-09,18
1.97163122598688e-09,16
2.05348426026471e-09,2
2.06189193289826e-09,30
2.06429493613668e-09,29
2.06550070721969e-09,41
2.07431349069558e-09,31
2.07735179051394e-09,15
2.11060503215049e-09,43
2.11369909353394e-09,19
2.13374164374111e-09,39
2.14533941212956e-09,42
2.15310452252063e-09,17
2.16127446780957e-09,4
2.18042749958968e-09,34
2.21655230794368e-09,1
2.23660243362049e-09,9
2.2929796962375e-09,23
2.31800934295834e-09,5
2.32940517150325e-09,10
2.33522342779754e-09,20
2.33950438901298e-09,7
2.41119781239277e-09,33
2.42896049916584e-09,3
2.43670793175417e-09,37
2.44798469231272e-09,25
2.44938579161143e-09,38
2.45507028655575e-09,8
2.5075269391375e-09,26
2.50997812442088e-09,35
2.52904532622118e-09,12
2.53697261151901e-09,40
2.55525332154957e-09,11
2.59309924722704e-09,22
2.60249647558297e-09,36
2.61203037873975e-09,27
2.6244405842202e-09,32
2.63131084504435e-09,19
2.63975540409574e-09,38
2.74937052187716e-09,4
2.76380275609472e-09,1
2.77673895979628e-09,6
2.78170617070257e-09,30
2.81941869324262e-09,21
2.82798939602482e-09,12
2.84888178100044e-09,25
2.90441415905196e-09,28
2.91245811278062e-09,10
2.94777311413723e-09,13
2.95738233095083e-09,42
2.98770205946135e-09,44
2.98918793363995e-09,17
2.99479775474069e-09,31
3.01823457399551e-09,39
3.02939948477144e-09,14
3.05669273879742e-09,27
3.05763947193233e-09,40
3.06209289049647e-09,7
3.08576744122666e-09,9
3.10699905984036e-09,36
3.12872290213217e-09,32
3.13601987697599e-09,34
3.19433478804913e-09,18
3.23083909300824e-09,3
3.24172698830356e-09,20
3.25866793366741e-09,37
3.2612254703349e-09,11
3.27364663579596e-09,15
3.28039836887126e-09,22
3.28060042893158e-09,26
3.29387043526592e-09,2
3.29428895937948e-09,24
3.29993093458734e-09,35
3.30559916904437e-09,8
3.31066816428955e-09,41
3.35888525578115e-09,43
3.3747721833786e-09,5
3.38511019231422e-09,16
3.39125447302358e-09,23
3.39438137101307e-09,33
3.42375259327273e-09,29
3.42863855417667e-09,35
3.43901224868706e-09,26
3.45445854453817e-09,22
3.4584410439056e-09,2
3.46406295368434e-09,20
3.48547155042877e-09,15
3.48655272359613e-09,44
3.49773992205164e-09,11
3.50871200606959e-09,40
3.51001282751279e-09,21
3.52760655241164e-09,54
3.55344252574584e-09,37
3.58532188415987e-09,14
3.59140707465059e-09,51
3.5948024078782e-09,38
3.60201608166095e-09,4
3.62006743820936e-09,32
3.62170731352238e-09,47
3.62742497052034e-09,56
3.66720882564426e-09,25
3.67894451800531e-09,34
3.68943531053377e-09,19
3.69660094664486e-09,52
3.7255388084701e-09,24
3.73749617841777e-09,42
3.75414369283917e-09,12
3.75994830380164e-09,41
3.76733581032783e-09,27
3.77389700012014e-09,55
3.78047890411824e-09,49
3.81803742080173e-09,43
3.82748625830867e-09,16
3.8307569347323e-09,9
3.8478879432529e-09,5
3.88009214294679e-09,3
3.8809890560832e-09,23
3.88681913698466e-09,48
3.93296897573151e-09,31
3.9424437361432e-09,1
3.95187619940475e-09,46
4.00680668122964e-09,36
4.03670673255922e-09,13
4.03754251521164e-09,18
4.03924375713369e-09,8
4.09979205982556e-09,6
4.10458957142398e-09,30
4.11428855828089e-09,53
4.12400514978629e-09,45
4.1243811976217e-09,17
4.12965470577258e-09,39
4.1342674949679e-09,33
4.13898984183142e-09,10
4.17300100086223e-09,7
4.18089784783572e-09,50
4.20519693769916e-09,28
4.2092736937008e-09,29
4.23846694739693e-09,25
4.24524309787389e-09,11
4.24727335985176e-09,15
4.261940672111e-09,29
4.30266597379335e-09,13
4.31045865452424e-09,2
4.31137361393884e-09,17
4.32282240572078e-09,27
4.33266402205184e-09,1
4.3794596224113e-09,10
4.38979799744641e-09,4
4.39143480048233e-09,23
4.43188935845768e-09,24
4.45720648878585e-09,22
4.46073343560382e-09,12
4.46467973311309e-09,26
4.52473059057321e-09,6
4.56619705404674e-09,16
4.61551322073739e-09,28
4.63180272930158e-09,8
4.64360330665703e-09,14
4.66266302934325e-09,19
4.68183628181383e-09,21
4.73058131470572e-09,20
4.73597881424809e-09,7
4.78534736386388e-09,3
4.83687778577565e-09,5
4.87859961220874e-09,18
4.9231817620098e-09,9
5.06114801040168e-09,7
5.07251335380736e-09,8
5.09363380420777e-09,11
5.20779366803848e-09,6
5.21101174075453e-09,5
5.21217546249455e-09,4
5.28870197084632e-09,1
5.29440465972456e-09,2
5.42498814400689e-09,9
5.52077095119672e-09,3
5.59333102501649e-09,10
6.02319746375366e-09,1
6.62046928898309e-09,2
