"IT(""/V0/MINUS"") vs Vin X","IT(""/V0/MINUS"") vs Vin Y"
0,0
0.000379988,6.97E-08
0.000727494,6.96E-08
0.001422507,6.91E-08
0.002812528,6.91E-08
0.005592542,6.82E-08
0.011152332,6.80E-08
0.022270029,6.74E-08
0.044490366,6.87E-08
0.088810745,7.36E-08
0.176491915,1.77E-07
,
0.796870682,0.000105456
0.796087243,8.21E-05
0.755095606,4.62E-05
,
0.450712877,-1.56E-07
0.263902726,5.03E-08
0.050091106,-1.72E-07
-0.152367854,-7.54E-08
-0.200248238,-9.58E-07
-0.293569692,-1.96E-05
-0.317012536,-3.70E-05
-0.328615932,-4.68E-05
-0.351572092,-6.57E-05
-0.396401589,-8.50E-05
-0.407474526,-8.57E-05
-0.429304316,-8.56E-05
-0.469589485,-8.36E-05
-0.540002246,-7.69E-05
-0.624083529,-6.67E-05
-0.720958914,-4.91E-05
-0.788588372,-2.67E-05
-0.792553099,-7.24E-06
-0.779084989,-4.27E-06
-0.732288018,-1.18E-06
-0.654291585,-7.35E-07
-0.514048694,-3.41E-07
-0.305995121,-3.00E-07
-0.093707654,2.48E-09
0.111149704,4.60E-06
0.301363032,5.52E-05
0.456174346,0.000116593
0.570037665,0.000155669
0.651233738,0.000156008
0.718991088,0.000145112
0.759916867,0.000132691
0.795343233,0.000110835
0.778518907,6.33E-05
,
0.446183959,-3.21E-07
0.242210545,2.12E-07
0.025626874,-3.34E-07
-0.175884866,-9.23E-08
-0.223353868,-2.20E-06
-0.315600841,-3.34E-05
-0.335037883,-5.06E-05
-0.373187478,-7.68E-05
-0.425998391,-8.71E-05
-0.469643165,-8.32E-05
-0.515949517,-7.98E-05
-0.575653228,-7.25E-05
-0.676464694,-5.88E-05
-0.766563687,-3.58E-05
-0.79999932,-1.50E-05
-0.755716052,-1.58E-06
-0.659160819,-1.14E-06
-0.53478401,-4.84E-08
-0.3577793,-7.17E-07
-0.145813617,3.11E-07
0.060899306,9.53E-07
0.255296191,3.96E-05
0.431085016,0.000106633
0.55058477,0.000152304
0.65613682,0.000156401
0.726934668,0.000143559
0.766895501,0.000129726
0.796514792,0.000109422
0.774512784,5.98E-05
,
0.436132786,-5.71E-07
0.231137536,4.58E-07
0.01511081,-5.80E-07
-0.185840218,1.36E-08
-0.23317201,-3.26E-06
-0.256520265,-5.88E-06
-0.302471793,-2.77E-05
-0.35467229,-6.92E-05
-0.40546312,-8.75E-05
-0.425599567,-8.58E-05
-0.46474742,-8.45E-05
-0.51116107,-7.92E-05
-0.595527934,-7.11E-05
-0.701744582,-5.28E-05
-0.779755489,-3.16E-05
-0.797924949,-9.84E-06
-0.789840551,-7.13E-06
-0.755650661,-1.49E-06
-0.68750253,-1.34E-06
-0.572919522,7.87E-08
-0.38973331,-8.61E-07
-0.177380442,4.48E-07
0.031430638,-4.94E-08
0.228287313,3.01E-05
0.407141826,9.58E-05
0.53208419,0.000146249
0.636349479,0.000157882
0.697406963,0.00015017
0.745366303,0.000137338
0.782259239,0.000122719
0.795125418,8.12E-05
0.716698403,2.90E-05
0.51290878,-4.51E-07
0.312607565,5.13E-07
0.089886308,-6.33E-07
-0.11712425,4.78E-07
-0.165768494,-8.50E-07
-0.260975662,-6.93E-06
-0.294030696,-2.25E-05
-0.310348175,-3.33E-05
-0.342523468,-6.20E-05
-0.388396935,-8.40E-05
-0.402037707,-8.62E-05
-0.428850177,-8.54E-05
-0.469110544,-8.40E-05
-0.536129338,-7.70E-05
-0.621095657,-6.75E-05
-0.718848691,-4.92E-05
-0.787739357,-2.75E-05
-0.793281411,-7.20E-06
-0.780404874,-4.81E-06
-0.734974419,-9.10E-07
-0.658000968,-1.07E-06
-0.520720686,-1.87E-08
-0.312647262,-6.35E-07
-0.099890982,3.29E-07
0.105615448,3.71E-06
0.296574443,5.38E-05
0.453714447,0.000115207
0.568290888,0.000155663
0.678966645,0.000153275
0.73776201,0.000140881
0.775260476,0.000125702
0.799618505,0.00010175
0.765615474,5.33E-05
,
0.416819629,-6.30E-07
0.20957605,5.12E-07
-0.004695359,-6.35E-07
-0.203991383,-3.79E-07
-0.250946098,-5.79E-06
-0.274081599,-1.11E-05
-0.319560485,-4.15E-05
-0.366402142,-7.63E-05
-0.424740002,-8.81E-05
-0.438100679,-8.58E-05
-0.464299915,-8.46E-05
-0.513116292,-7.92E-05
-0.60132463,-7.02E-05
-0.718624259,-4.94E-05
-0.78735063,-2.77E-05
-0.793887465,-7.49E-06
-0.781642257,-5.02E-06
-0.73792497,-9.99E-07
-0.662206563,-1.07E-06
-0.528370004,-4.29E-08
-0.320684004,-6.25E-07
-0.163813055,2.76E-07
-9.80E-16,-2.43E-07
